location,bhk,bathrooms,area_sqft,parking,furnishing,metro_distance_km,property_age,floor,total_floors,price
Laxmi Nagar,3,4,3411,2,Furnished,3.03,0,8,14,21307986
Karol Bagh,1,3,3020,1,Furnished,13.91,9,3,9,15513466
Laxmi Nagar,2,4,1516,0,Furnished,4.01,15,12,16,8131674
Karol Bagh,3,3,2556,0,Semi-Furnished,5.56,15,16,18,13169079
Rohini,1,4,1127,2,Semi-Furnished,14.07,3,6,13,6092499
Karol Bagh,3,4,3057,0,Furnished,10.12,17,14,31,15479079
Dwarka,3,4,1456,0,Unfurnished,3.05,3,1,14,8025143
Vasant Kunj,4,4,2419,2,Furnished,10.95,0,16,27,24132100
Janakpuri,3,2,3946,1,Unfurnished,4.04,5,6,18,20535193
Rohini,3,3,725,0,Furnished,7.79,14,1,5,4312027
Laxmi Nagar,5,4,1158,2,Furnished,11.64,16,12,25,5752408
Pitampura,3,4,2268,0,Furnished,13.96,16,14,16,11314573
Saket,1,4,690,0,Unfurnished,6.08,0,3,20,3754208
Karol Bagh,2,3,3113,1,Furnished,13.99,13,18,32,15607585
Ghaziabad,2,3,654,1,Unfurnished,13.22,16,8,8,3001910
Rohini,3,2,3747,2,Semi-Furnished,4.76,2,18,30,20511411
Noida,2,3,535,0,Unfurnished,3.32,7,14,29,3239173
Karol Bagh,4,3,3018,2,Furnished,5.95,1,19,35,17433611
South Extension,3,4,3160,0,Semi-Furnished,12.5,11,12,16,27790237
Ghaziabad,5,4,3431,1,Furnished,8.34,7,16,28,18928854
Ghaziabad,4,2,2193,2,Unfurnished,12.03,18,5,13,9255791
Ghaziabad,5,1,1581,1,Semi-Furnished,2.77,1,16,23,8688854
Gurugram,5,1,3843,0,Furnished,11.2,4,3,14,38087376
Gurugram,3,1,3657,0,Unfurnished,5.46,4,15,31,33618575
Noida,4,1,1727,1,Semi-Furnished,11.57,6,4,4,8536582
Ghaziabad,5,3,2285,1,Unfurnished,14.26,3,2,21,10547117
South Extension,2,2,2989,0,Furnished,8.32,12,4,19,28878570
Laxmi Nagar,2,1,1395,2,Semi-Furnished,12.11,11,18,20,7271247
South Extension,1,1,1456,2,Furnished,12.4,11,3,3,13260711
Ghaziabad,2,3,784,0,Unfurnished,3.61,13,2,20,3771951
Gurugram,3,3,3396,1,Unfurnished,5.13,9,2,20,30460696
Karol Bagh,4,2,2149,0,Furnished,14.08,3,4,13,11566476
Laxmi Nagar,1,4,2739,2,Furnished,14.86,15,4,21,13214207
Saket,5,4,3940,2,Unfurnished,11.39,2,9,25,19144505
Saket,4,4,1228,1,Furnished,4.82,18,17,20,6637375
Ghaziabad,5,1,575,0,Furnished,5.13,13,19,33,2865440
Dwarka,5,1,3670,0,Unfurnished,8.53,3,16,22,18294635
Rohini,5,2,1709,2,Furnished,14.94,4,3,13,8600536
Vasant Kunj,2,3,3135,0,Semi-Furnished,11.54,11,17,22,27786839
Saket,5,4,2717,0,Furnished,12.42,1,5,9,14792228
Pitampura,3,4,2019,0,Furnished,5.87,19,17,23,11071051
Pitampura,5,4,2327,1,Furnished,10.77,18,12,18,12094298
Dwarka,2,2,538,1,Furnished,7.64,12,18,37,3165430
Ghaziabad,5,3,1884,2,Semi-Furnished,11.32,12,17,17,9632082
Gurugram,5,2,2605,0,Furnished,14.56,14,16,26,23797848
Dwarka,5,4,1750,2,Unfurnished,14.55,17,15,23,7078002
Laxmi Nagar,1,1,3830,2,Semi-Furnished,1.16,11,10,25,21098531
Pitampura,4,4,1167,0,Unfurnished,4.52,3,8,25,5831909
Ghaziabad,4,1,540,2,Furnished,10.62,16,9,9,2625979
South Extension,4,1,3279,0,Furnished,2.43,2,6,23,36140484
Ghaziabad,5,3,2444,1,Unfurnished,1.7,17,13,17,12115642
Laxmi Nagar,1,2,3636,1,Semi-Furnished,14.82,16,11,27,17101533
Vasant Kunj,1,2,2652,2,Semi-Furnished,2.44,15,6,22,25567097
South Extension,5,2,3318,0,Unfurnished,8.98,4,10,19,29509153
Rohini,1,1,3649,0,Unfurnished,2.37,18,13,25,18173929
Dwarka,1,1,987,1,Unfurnished,5.69,7,7,8,5026596
Gurugram,3,3,3877,0,Semi-Furnished,8.5,4,17,32,36607968
Ghaziabad,5,1,1077,2,Unfurnished,3.59,5,2,7,5831260
Laxmi Nagar,2,2,3345,2,Furnished,6.84,1,6,6,19995098
Janakpuri,4,2,1258,1,Furnished,13.0,4,4,13,6601633
Rohini,1,2,3332,0,Unfurnished,14.71,1,13,23,15310184
Karol Bagh,3,3,2658,0,Unfurnished,7.17,15,11,26,12077077
Rohini,4,4,3447,0,Unfurnished,13.5,2,18,36,16152281
Rohini,5,1,1989,1,Furnished,3.07,5,1,5,11756174
Ghaziabad,4,2,3617,1,Furnished,2.37,12,9,23,21417951
South Extension,3,3,547,0,Semi-Furnished,0.54,3,1,8,6090667
Pitampura,3,1,2215,2,Semi-Furnished,8.28,13,14,15,11350925
Karol Bagh,2,2,3246,2,Unfurnished,10.84,14,14,24,14866419
Noida,4,1,3845,1,Semi-Furnished,5.64,18,15,19,19595597
South Extension,2,3,2476,0,Semi-Furnished,3.57,11,17,29,23772786
Noida,1,4,3965,2,Unfurnished,9.91,17,15,18,17502503
Karol Bagh,2,3,3940,2,Unfurnished,5.99,4,6,25,20174440
Vasant Kunj,2,3,2475,2,Unfurnished,14.8,4,1,6,20484500
Vasant Kunj,4,2,3390,1,Furnished,4.63,8,3,21,35592120
Laxmi Nagar,5,4,1419,2,Unfurnished,13.5,19,11,14,6352803
Pitampura,1,2,3051,1,Semi-Furnished,10.2,1,15,25,15884475
Dwarka,2,3,2720,0,Unfurnished,3.21,3,19,38,13943035
Janakpuri,4,1,2687,2,Furnished,10.75,13,6,10,13684261
Vasant Kunj,3,3,3392,2,Unfurnished,9.11,5,18,27,29340729
Pitampura,2,4,3445,0,Furnished,10.43,19,1,5,17271727
Janakpuri,1,1,2494,2,Semi-Furnished,7.34,2,17,21,13191530
Laxmi Nagar,4,4,2469,1,Unfurnished,14.03,10,9,10,10937280
Laxmi Nagar,3,3,3060,1,Semi-Furnished,1.2,7,11,19,16727878
Karol Bagh,4,2,1814,0,Furnished,3.2,18,14,17,9754876
Rohini,5,2,2636,1,Unfurnished,12.34,6,8,21,11867389
Vasant Kunj,3,1,2969,0,Semi-Furnished,11.34,14,1,17,26121604
Pitampura,2,2,1320,2,Unfurnished,8.37,5,6,8,6082675
Rohini,3,4,3101,2,Unfurnished,13.24,0,7,10,14872995
Ghaziabad,1,1,3568,0,Semi-Furnished,11.79,0,4,5,18054318
Gurugram,5,3,2365,0,Unfurnished,1.99,12,15,18,21986025
Janakpuri,4,4,2562,0,Semi-Furnished,8.33,14,4,15,13013041
Rohini,2,3,594,2,Unfurnished,10.56,3,11,15,2973777
Rohini,3,2,2365,1,Furnished,3.8,14,14,24,13016398
Ghaziabad,2,1,3505,1,Furnished,9.37,14,8,18,18880721
Pitampura,4,4,1847,0,Unfurnished,13.88,7,10,26,8442617
Noida,2,1,1513,2,Furnished,11.18,7,9,19,8371413
Janakpuri,1,2,2136,0,Semi-Furnished,2.9,3,1,19,12428883
South Extension,5,3,3516,0,Semi-Furnished,5.36,19,9,11,32342688
Pitampura,4,1,2125,2,Furnished,13.88,6,18,19,11026326
Pitampura,3,3,1375,2,Semi-Furnished,2.54,6,6,6,7532903
Vasant Kunj,5,3,1502,1,Unfurnished,3.69,17,17,23,13460722
Vasant Kunj,4,1,1188,1,Unfurnished,12.98,7,17,23,10107265
Vasant Kunj,5,2,2762,2,Unfurnished,3.54,18,17,29,23675536
Noida,3,2,1268,1,Semi-Furnished,10.85,17,2,18,6138093
Gurugram,3,3,2420,0,Furnished,1.59,2,10,19,27259949
Pitampura,2,4,2634,2,Unfurnished,2.76,17,7,14,13287086
Ghaziabad,3,4,2506,2,Furnished,7.83,7,15,19,13932434
Saket,3,1,3554,1,Furnished,12.18,13,14,24,17970105
Gurugram,4,4,664,1,Semi-Furnished,3.47,15,18,24,6571311
Laxmi Nagar,1,3,3656,2,Semi-Furnished,2.28,18,4,21,19034675
Karol Bagh,1,3,3256,2,Furnished,4.26,1,3,14,19496689
Karol Bagh,5,1,1433,1,Furnished,5.76,11,3,22,8353680
Dwarka,4,4,1092,1,Furnished,8.7,13,17,34,5432063
Laxmi Nagar,1,2,1020,1,Unfurnished,9.69,6,9,19,4728236
Karol Bagh,4,2,941,0,Unfurnished,2.99,4,11,16,4938608
Dwarka,5,2,1879,0,Semi-Furnished,4.47,16,5,10,9871201
Ghaziabad,4,3,841,0,Semi-Furnished,4.32,5,8,9,4868971
Dwarka,5,1,3368,2,Furnished,8.81,16,14,15,17473144
Pitampura,3,1,3366,0,Unfurnished,9.25,10,8,18,16336551
Laxmi Nagar,4,1,686,2,Unfurnished,9.35,1,15,19,3385738
Noida,1,2,1250,2,Furnished,9.13,10,17,29,6888366
Vasant Kunj,2,1,653,1,Unfurnished,2.05,8,8,24,6420230
Rohini,1,1,1438,1,Furnished,7.17,2,3,20,8286017
Saket,4,4,1958,1,Furnished,0.58,11,19,23,11261327
Dwarka,3,3,3364,0,Furnished,11.96,16,15,26,17390633
Gurugram,3,4,3208,0,Semi-Furnished,10.05,15,6,13,28445840
Laxmi Nagar,2,1,1791,2,Furnished,10.55,8,13,27,10173083
Janakpuri,2,4,1210,0,Furnished,3.12,6,14,28,7356214
Gurugram,1,3,3235,1,Semi-Furnished,6.62,17,7,9,28817072
Gurugram,3,2,1114,0,Furnished,9.93,2,12,24,11019261
Ghaziabad,3,1,1694,1,Unfurnished,11.01,11,7,21,7429253
Noida,1,4,1872,1,Semi-Furnished,5.12,17,1,16,9318631
Pitampura,2,4,3441,1,Furnished,0.85,9,2,14,20660334
Vasant Kunj,2,4,2131,2,Furnished,1.52,13,17,28,22114766
Saket,4,3,2924,1,Semi-Furnished,1.83,6,5,5,15918786
Ghaziabad,1,3,1665,1,Furnished,12.87,17,5,20,8117716
Janakpuri,5,2,2498,0,Furnished,2.09,3,12,16,15649008
Janakpuri,5,3,3951,1,Furnished,14.74,13,11,23,20157069
Janakpuri,1,3,3111,2,Semi-Furnished,6.32,18,13,26,15971111
Gurugram,3,2,1324,1,Semi-Furnished,1.03,2,6,10,14210318
Noida,1,1,3670,1,Semi-Furnished,8.11,9,3,20,19396199
Noida,1,4,502,2,Furnished,3.75,14,9,12,2376857
Gurugram,5,2,1790,0,Semi-Furnished,6.17,8,3,4,16867960
Rohini,2,1,1986,0,Furnished,8.49,1,15,20,11935210
Noida,3,1,1699,1,Semi-Furnished,8.22,4,16,28,9321381
Pitampura,5,1,1092,1,Unfurnished,7.68,18,3,10,4707345
Pitampura,3,1,2272,0,Furnished,13.24,18,16,23,11568695
Saket,1,3,3363,0,Semi-Furnished,5.34,12,10,13,17982975
Laxmi Nagar,3,2,1199,2,Furnished,13.28,12,19,28,6574266
South Extension,3,1,2074,2,Furnished,0.52,1,14,26,23488668
Dwarka,4,3,2485,0,Unfurnished,9.45,16,9,25,11406398
Gurugram,2,4,947,0,Semi-Furnished,11.81,5,19,25,8154928
Gurugram,1,4,1493,2,Semi-Furnished,6.19,14,5,8,14025787
Dwarka,4,2,3895,2,Semi-Furnished,2.91,11,17,26,21326524
Vasant Kunj,1,2,973,2,Semi-Furnished,12.86,13,15,26,8499475
Pitampura,3,3,1447,0,Semi-Furnished,6.06,10,1,6,7131170
Vasant Kunj,3,3,1069,2,Furnished,6.97,13,2,5,10755976
Janakpuri,3,1,538,2,Unfurnished,12.02,10,2,16,2314102
Rohini,4,2,2062,2,Furnished,14.29,11,15,30,10846817
Karol Bagh,3,4,2182,0,Unfurnished,6.91,0,6,20,11666195
Pitampura,5,3,2355,0,Furnished,9.95,11,18,32,12591789
Karol Bagh,3,4,1583,1,Semi-Furnished,3.45,7,15,28,8527442
Noida,4,3,2934,0,Semi-Furnished,2.4,2,14,28,16514573
Vasant Kunj,1,2,1759,0,Semi-Furnished,3.41,1,8,18,18354973
Pitampura,5,1,571,0,Furnished,1.55,17,14,28,3470775
Gurugram,3,1,1228,0,Unfurnished,14.31,8,8,18,9664857
Vasant Kunj,3,4,2076,0,Unfurnished,1.99,13,15,30,19101370
Pitampura,4,4,3220,1,Semi-Furnished,11.75,17,1,2,15070157
Karol Bagh,1,1,2449,0,Semi-Furnished,12.46,6,2,7,12416844
Janakpuri,2,2,2669,1,Unfurnished,12.41,9,12,28,12354509
Laxmi Nagar,3,1,2486,2,Unfurnished,0.96,5,9,15,13352633
South Extension,1,2,1215,1,Semi-Furnished,9.57,19,15,21,10787225
Ghaziabad,4,4,1399,1,Furnished,12.35,2,9,18,7739470
Laxmi Nagar,3,2,3561,2,Semi-Furnished,9.93,12,19,37,17394069
Karol Bagh,4,1,2427,0,Unfurnished,11.95,18,12,29,10664485
Pitampura,2,3,1161,0,Furnished,14.95,8,3,12,6291055
Dwarka,3,1,2640,1,Furnished,0.94,0,7,18,16561022
Dwarka,5,3,2477,0,Semi-Furnished,12.77,4,4,15,12587375
Saket,4,4,2699,1,Semi-Furnished,13.07,8,4,5,13170552
Vasant Kunj,4,2,2882,1,Semi-Furnished,12.0,6,10,28,25839498
South Extension,2,2,1136,2,Semi-Furnished,9.53,7,15,15,10950795
South Extension,2,4,2647,1,Semi-Furnished,3.11,11,14,27,25877930
Vasant Kunj,5,1,3552,0,Semi-Furnished,4.08,14,14,20,33505078
Vasant Kunj,4,2,1337,0,Furnished,6.17,1,3,7,13855982
Gurugram,4,4,800,2,Furnished,7.08,10,10,12,8097680
Gurugram,2,1,2301,1,Unfurnished,2.61,4,8,18,21658352
Pitampura,1,1,1075,1,Unfurnished,2.93,10,5,19,5941456
Janakpuri,4,1,2852,0,Furnished,10.73,14,15,20,14607784
Ghaziabad,3,1,2439,1,Furnished,14.81,8,5,24,12903018
Rohini,5,1,2666,2,Furnished,7.06,4,1,17,15709131
Laxmi Nagar,4,2,775,0,Furnished,7.46,10,2,19,4657029
Laxmi Nagar,1,3,1746,2,Semi-Furnished,8.07,11,6,25,8465532
Janakpuri,5,4,1859,1,Semi-Furnished,3.43,7,18,18,10195917
Pitampura,5,4,1881,0,Semi-Furnished,14.47,14,2,2,9270066
Vasant Kunj,2,3,2493,1,Furnished,7.71,16,8,22,23827002
Laxmi Nagar,1,4,1486,0,Semi-Furnished,10.5,0,1,19,8192439
Gurugram,5,4,1592,0,Unfurnished,2.05,1,18,23,15390507
Pitampura,1,1,1612,0,Furnished,11.84,12,9,19,8368522
Ghaziabad,2,1,3673,1,Unfurnished,13.92,18,6,7,15659841
Noida,5,1,3850,2,Furnished,13.1,0,7,21,21012532
Ghaziabad,4,2,1210,2,Unfurnished,10.58,0,17,33,5809591
South Extension,4,2,2509,2,Semi-Furnished,9.25,13,14,23,22339307
Karol Bagh,1,3,2632,1,Furnished,14.3,1,6,17,13979267
Dwarka,2,4,3864,2,Furnished,8.24,14,11,26,20776325
Gurugram,2,4,1390,2,Semi-Furnished,0.76,10,16,30,13731054
Vasant Kunj,1,4,1214,2,Furnished,1.37,12,19,20,12622671
South Extension,5,4,3555,0,Furnished,4.63,14,3,10,35519760
Janakpuri,2,4,3217,1,Furnished,6.3,12,4,14,18176643
Gurugram,4,2,1562,0,Furnished,3.18,16,10,19,15460165
Saket,4,4,1975,1,Semi-Furnished,12.19,0,12,24,10112935
Saket,3,1,3434,1,Unfurnished,12.38,8,9,23,15993054
Noida,2,1,2160,1,Furnished,13.55,15,17,21,10676448
South Extension,2,4,3078,2,Furnished,10.18,17,19,22,28496772
Karol Bagh,1,3,2789,0,Semi-Furnished,2.94,2,12,13,16074853
Rohini,5,1,1161,0,Semi-Furnished,9.81,6,11,20,5683119
Laxmi Nagar,5,1,940,1,Furnished,2.56,2,7,24,5329380
Ghaziabad,2,2,3184,2,Furnished,11.01,10,7,20,16979604
Vasant Kunj,4,2,1625,1,Unfurnished,13.63,12,14,17,13458854
Saket,5,1,2422,0,Furnished,5.19,5,9,15,14038522
Karol Bagh,5,1,3375,1,Unfurnished,10.21,11,8,13,15416143
Vasant Kunj,2,3,3561,0,Semi-Furnished,7.12,5,2,13,34596697
Vasant Kunj,1,3,2901,2,Semi-Furnished,7.25,7,12,15,27047592
Laxmi Nagar,5,3,3874,0,Unfurnished,2.97,9,16,27,19928531
Janakpuri,4,4,3527,2,Furnished,13.94,12,19,26,17575892
Vasant Kunj,5,4,1771,0,Furnished,12.71,19,6,23,15686628
Laxmi Nagar,1,1,3331,1,Furnished,2.81,13,4,4,18913498
Janakpuri,2,1,2101,0,Furnished,1.77,8,1,11,12421422
Laxmi Nagar,4,2,3978,1,Semi-Furnished,9.21,5,3,13,20757729
Janakpuri,4,1,743,1,Semi-Furnished,7.77,16,10,15,3497495
Laxmi Nagar,5,3,3729,1,Furnished,13.09,5,3,18,19779958
South Extension,4,2,572,2,Semi-Furnished,6.34,1,2,4,5801468
Laxmi Nagar,4,2,765,0,Unfurnished,8.84,0,4,17,3498181
Laxmi Nagar,5,4,3446,2,Unfurnished,6.28,12,2,9,17084686
Dwarka,2,4,1036,2,Semi-Furnished,14.47,11,13,26,4980305
Vasant Kunj,2,1,2351,2,Semi-Furnished,9.79,10,2,20,21832196
Dwarka,3,1,2453,1,Semi-Furnished,3.57,10,18,32,12880620
Gurugram,3,1,1622,0,Unfurnished,2.26,13,19,25,14272084
Janakpuri,4,1,3831,2,Unfurnished,3.82,4,7,26,20084482
Saket,4,4,623,1,Furnished,6.68,4,3,9,3593332
South Extension,4,2,2049,2,Unfurnished,11.14,4,2,7,17369199
Rohini,5,2,2411,2,Unfurnished,9.47,12,18,30,10972050
Rohini,5,2,2520,0,Semi-Furnished,1.12,16,3,19,13454520
South Extension,3,3,2440,2,Unfurnished,2.66,3,2,21,22960379
Noida,4,2,1243,2,Semi-Furnished,5.95,19,6,15,6174759
Ghaziabad,2,1,3172,0,Furnished,1.98,8,9,9,18574741
Saket,4,4,2576,0,Furnished,12.69,7,11,12,13736376
Noida,3,2,2747,0,Furnished,9.4,12,19,23,14851452
Saket,4,1,2634,0,Furnished,1.19,7,11,11,15655564
Janakpuri,3,4,3211,0,Semi-Furnished,14.37,7,14,17,15518011
Karol Bagh,4,3,1734,2,Semi-Furnished,11.87,18,11,15,7922247
Pitampura,2,2,1491,0,Furnished,4.78,7,9,10,8655434
Gurugram,2,3,2327,1,Semi-Furnished,4.28,8,9,26,22984388
Karol Bagh,5,4,1151,2,Unfurnished,14.71,12,16,17,5288552
Vasant Kunj,2,3,2820,1,Furnished,3.76,7,14,31,30196458
Dwarka,4,2,2503,0,Furnished,10.3,18,14,30,12675549
Noida,5,3,2669,1,Unfurnished,12.99,16,12,20,11556916
Ghaziabad,2,1,3968,1,Furnished,7.18,7,14,21,22822211
Rohini,4,4,2750,1,Semi-Furnished,11.42,12,18,19,13563747
Karol Bagh,5,3,2983,2,Furnished,14.49,14,19,30,15086319
Janakpuri,3,1,2224,0,Furnished,7.87,18,7,18,11554851
Janakpuri,1,4,3800,2,Unfurnished,2.83,15,8,8,18340537
Rohini,5,3,948,2,Unfurnished,6.32,9,2,12,4757017
Karol Bagh,2,1,2849,2,Semi-Furnished,9.42,1,9,24,15042154
Rohini,1,4,3479,1,Furnished,12.8,11,17,30,18010601
Vasant Kunj,1,2,3948,2,Furnished,11.47,5,19,23,39166684
Gurugram,4,3,1904,1,Unfurnished,13.35,2,5,10,15773738
Vasant Kunj,5,2,2585,1,Semi-Furnished,5.65,12,17,23,23853723
South Extension,5,2,835,1,Unfurnished,8.64,3,2,19,7346432
Dwarka,4,4,3462,0,Semi-Furnished,9.73,18,13,24,17219839
Ghaziabad,2,2,1640,2,Furnished,12.46,18,16,28,8030890
Rohini,1,3,3028,1,Unfurnished,5.89,16,15,25,14852921
Noida,4,2,2336,0,Unfurnished,6.61,3,16,30,12058055
Janakpuri,4,3,2684,1,Furnished,9.02,19,10,27,13524609
Vasant Kunj,5,3,2385,1,Furnished,9.0,5,17,29,24069444
South Extension,5,3,1949,2,Unfurnished,6.73,18,5,9,16706246
Dwarka,1,1,3645,0,Unfurnished,10.74,3,7,13,17655375
Janakpuri,3,1,3339,0,Unfurnished,0.6,8,14,25,17454407
Ghaziabad,1,3,2119,0,Furnished,14.37,11,10,16,11001013
Janakpuri,4,2,1131,1,Unfurnished,4.44,9,13,18,5952538
Dwarka,1,1,1751,2,Furnished,1.41,10,4,21,10761706
Rohini,3,3,3641,2,Furnished,3.93,10,15,30,20753776
Laxmi Nagar,5,2,3039,1,Furnished,11.1,17,5,7,15385013
Saket,2,1,3531,0,Furnished,7.23,11,9,9,19610953
Rohini,5,4,1394,1,Furnished,1.79,0,17,18,8886291
Noida,2,3,2204,2,Semi-Furnished,10.76,16,2,7,10461730
Pitampura,2,1,3389,0,Unfurnished,2.54,15,2,11,16893523
Karol Bagh,3,1,3657,2,Furnished,7.93,9,3,21,20462388
Saket,1,4,2579,2,Unfurnished,13.15,3,14,33,12058598
Ghaziabad,5,3,2249,1,Semi-Furnished,3.96,8,8,24,11994056
Noida,2,1,2283,1,Unfurnished,5.48,11,1,10,10757612
Noida,3,2,3226,2,Furnished,12.42,17,11,29,16513460
Rohini,3,3,3051,1,Semi-Furnished,1.86,8,4,8,16678038
Janakpuri,1,3,2467,1,Unfurnished,8.23,9,6,17,11471737
Laxmi Nagar,3,1,758,2,Unfurnished,4.52,7,6,6,4252820
Janakpuri,1,3,3571,0,Semi-Furnished,11.12,15,11,15,17369678
Saket,3,4,3196,2,Furnished,7.83,15,1,13,17694871
Ghaziabad,5,1,1169,0,Furnished,5.18,5,5,7,6575614
Dwarka,4,1,2439,1,Semi-Furnished,3.54,4,3,11,13995583
Noida,2,2,2758,0,Unfurnished,7.33,14,12,23,12985218
Saket,5,4,1749,1,Furnished,12.51,15,1,3,8995013
Noida,2,1,2854,2,Furnished,3.27,10,16,32,16685005
Vasant Kunj,4,3,3409,2,Unfurnished,4.18,0,16,17,32494836
Janakpuri,3,4,2795,2,Furnished,3.04,8,1,8,16647272
Pitampura,3,4,941,0,Furnished,3.63,14,3,16,5759952
Rohini,4,4,3972,2,Furnished,12.21,12,15,32,20806648
South Extension,1,2,3822,2,Semi-Furnished,8.63,1,14,19,37028540
Gurugram,4,1,1339,1,Unfurnished,6.02,13,17,24,11827050
Rohini,2,2,2250,1,Unfurnished,12.95,18,14,32,9781000
South Extension,2,3,2831,0,Unfurnished,14.46,8,19,33,23095836
Pitampura,5,1,3223,0,Unfurnished,4.01,0,14,24,16610695
Gurugram,3,1,2881,1,Unfurnished,9.18,3,8,9,25358947
Rohini,5,2,2121,0,Unfurnished,14.84,15,17,32,8699149
Janakpuri,4,3,1278,1,Furnished,12.91,4,16,35,6443893
Janakpuri,3,4,3560,0,Semi-Furnished,8.12,8,4,6,18775034
Vasant Kunj,2,4,3027,0,Furnished,0.86,14,8,19,31412050
Rohini,4,2,3106,2,Semi-Furnished,9.23,19,8,26,15278895
Janakpuri,4,1,678,2,Furnished,7.93,3,12,24,3659973
Ghaziabad,4,2,2507,1,Unfurnished,7.36,8,1,8,12066933
Saket,1,2,2436,0,Semi-Furnished,7.35,7,19,28,12734514
Ghaziabad,1,1,2144,0,Semi-Furnished,9.53,13,3,18,10884427
Dwarka,4,4,2212,0,Semi-Furnished,8.29,16,14,30,10804083
Janakpuri,3,4,1391,0,Furnished,5.41,16,10,20,8008096
Noida,1,1,1867,0,Furnished,4.63,16,19,25,10172544
Ghaziabad,1,3,896,2,Semi-Furnished,1.15,10,13,26,5159844
Pitampura,1,4,518,0,Unfurnished,10.85,11,16,16,2157513
Saket,2,3,1487,1,Furnished,10.96,13,13,27,8182811
Janakpuri,1,3,2375,1,Semi-Furnished,4.22,3,1,4,13358582
Rohini,5,3,2274,0,Unfurnished,1.53,18,15,23,11030729
Rohini,2,3,604,1,Unfurnished,5.75,10,13,22,3335504
Noida,2,3,3689,0,Furnished,9.38,2,6,7,21319217
Saket,3,4,3921,1,Furnished,0.67,11,3,13,23469267
Ghaziabad,5,3,3533,0,Unfurnished,2.28,16,6,16,17352779
Noida,3,1,874,0,Semi-Furnished,4.94,11,2,4,4860006
Vasant Kunj,4,4,3394,0,Unfurnished,6.75,7,11,26,30176910
Dwarka,2,3,1641,0,Furnished,8.12,1,5,11,9057644
Dwarka,5,4,1332,0,Semi-Furnished,14.23,18,10,27,6406696
Vasant Kunj,3,3,3554,2,Furnished,11.98,10,17,33,33843895
Dwarka,5,4,1429,1,Unfurnished,7.08,3,17,29,7129134
Karol Bagh,5,2,1899,2,Furnished,8.21,12,4,17,10697079
Rohini,3,4,1757,2,Furnished,0.84,14,10,14,9881539
Saket,5,1,2717,0,Unfurnished,7.37,5,4,21,13198856
Ghaziabad,1,1,1296,0,Furnished,9.3,19,17,29,6396195
Vasant Kunj,4,1,3736,0,Semi-Furnished,8.53,1,13,31,36500553
Janakpuri,2,2,1939,0,Unfurnished,3.32,16,14,25,9732631
Saket,4,3,858,2,Unfurnished,2.9,2,13,27,4493896
South Extension,3,4,2982,0,Semi-Furnished,14.91,17,8,26,24696109
Dwarka,5,4,1807,0,Furnished,7.4,3,19,20,10867102
Saket,5,3,3711,1,Semi-Furnished,2.39,10,7,11,19842501
Gurugram,4,1,1057,1,Semi-Furnished,14.19,16,19,37,9228833
Rohini,4,4,3367,1,Furnished,9.04,3,6,16,19001805
Janakpuri,3,3,1203,0,Furnished,5.75,16,19,32,6822440
Laxmi Nagar,2,4,2470,2,Semi-Furnished,11.59,3,7,19,12867234
Karol Bagh,1,4,615,0,Semi-Furnished,6.87,16,1,8,3467430
South Extension,3,3,3384,0,Unfurnished,14.59,15,18,28,26921865
Rohini,2,2,2867,1,Unfurnished,9.84,11,2,10,13774270
South Extension,3,4,1809,0,Semi-Furnished,12.0,2,19,36,16467223
